caseId,activity,timestamp,
0,Activity A,7/2/2018 17:19,
0,Activity C,7/2/2018 17:21,
0,Activity E,7/2/2018 17:22,
0,Activity D,7/2/2018 17:23,
0,Activity G,7/2/2018 17:24,
0,Activity H,7/2/2018 17:25,
0,Activity B,7/2/2018 17:27,
1,Activity A,7/2/2018 17:19,
1,Activity C,7/2/2018 17:21,
1,Activity H,7/2/2018 17:22,
1,Activity E,7/2/2018 17:23,
1,Activity D,7/2/2018 17:24,
1,Activity G,7/2/2018 17:25,
1,Activity B,7/2/2018 17:27,
2,Activity A,7/2/2018 17:20,
2,Activity C,7/2/2018 17:22,
2,Activity H,7/2/2018 17:23,
2,Activity E,7/2/2018 17:24,
2,Activity F,7/2/2018 17:25,
2,Activity E,7/2/2018 17:26,
2,Activity F,7/2/2018 17:27,
2,Activity E,7/2/2018 17:28,
2,Activity D,7/2/2018 17:29,
2,Activity G,7/2/2018 17:30,
2,Activity B,7/2/2018 17:32,
3,Activity A,7/2/2018 17:21,
3,Activity C,7/2/2018 17:23,
3,Activity E,7/2/2018 17:24,
3,Activity F,7/2/2018 17:25,
3,Activity E,7/2/2018 17:26,
3,Activity F,7/2/2018 17:27,
3,Activity E,7/2/2018 17:28,
3,Activity D,7/2/2018 17:29,
3,Activity H,7/2/2018 17:30,
3,Activity G,7/2/2018 17:31,
3,Activity B,7/2/2018 17:33,
4,Activity A,7/2/2018 17:23,
4,Activity H,7/2/2018 17:25,
4,Activity C,7/2/2018 17:26,
4,Activity E,7/2/2018 17:27,
4,Activity D,7/2/2018 17:28,
4,Activity G,7/2/2018 17:29,
4,Activity B,7/2/2018 17:31,
5,Activity A,7/2/2018 17:24,
5,Activity H,7/2/2018 17:26,
5,Activity C,7/2/2018 17:27,
5,Activity E,7/2/2018 17:28,
5,Activity F,7/2/2018 17:29,
5,Activity E,7/2/2018 17:30,
5,Activity D,7/2/2018 17:31,
5,Activity G,7/2/2018 17:32,
5,Activity B,7/2/2018 17:34,
6,Activity A,7/2/2018 17:25,
6,Activity C,7/2/2018 17:27,
6,Activity E,7/2/2018 17:28,
6,Activity D,7/2/2018 17:29,
6,Activity G,7/2/2018 17:30,
6,Activity H,7/2/2018 17:31,
6,Activity B,7/2/2018 17:33,
7,Activity A,7/2/2018 17:25,
7,Activity C,7/2/2018 17:27,
7,Activity E,7/2/2018 17:28,
7,Activity H,7/2/2018 17:29,
7,Activity F,7/2/2018 17:30,
7,Activity E,7/2/2018 17:31,
7,Activity F,7/2/2018 17:32,
7,Activity E,7/2/2018 17:33,
7,Activity F,7/2/2018 17:34,
7,Activity E,7/2/2018 17:35,
7,Activity D,7/2/2018 17:36,
7,Activity G,7/2/2018 17:37,
7,Activity B,7/2/2018 17:39,
8,Activity A,7/2/2018 17:27,
8,Activity H,7/2/2018 17:29,
8,Activity C,7/2/2018 17:30,
8,Activity E,7/2/2018 17:31,
8,Activity D,7/2/2018 17:32,
8,Activity G,7/2/2018 17:33,
8,Activity B,7/2/2018 17:35,
9,Activity A,7/2/2018 17:28,
9,Activity C,7/2/2018 17:30,
9,Activity E,7/2/2018 17:31,
9,Activity H,7/2/2018 17:32,
9,Activity F,7/2/2018 17:33,
9,Activity E,7/2/2018 17:34,
9,Activity F,7/2/2018 17:35,
9,Activity E,7/2/2018 17:36,
9,Activity F,7/2/2018 17:37,
9,Activity E,7/2/2018 17:38,
9,Activity D,7/2/2018 17:39,
9,Activity G,7/2/2018 17:40,
9,Activity B,7/2/2018 17:42,
