caseId,activity,timestamp,
0,Activity A,7/2/2018 19:31,
0,Activity C,7/2/2018 19:33,
0,Activity E,7/2/2018 19:34,
0,Activity D,7/2/2018 19:35,
0,Activity G,7/2/2018 19:36,
0,Activity H,7/2/2018 19:37,
0,Activity B,7/2/2018 19:39,
1,Activity A,7/3/2018 00:30,
1,Activity C,7/3/2018 00:32,
1,Activity H,7/3/2018 00:33,
1,Activity E,7/3/2018 00:34,
1,Activity D,7/3/2018 00:35,
1,Activity G,7/3/2018 00:36,
1,Activity B,7/3/2018 00:38,
2,Activity A,7/3/2018 00:35,
2,Activity C,7/3/2018 00:37,
2,Activity H,7/3/2018 00:38,
2,Activity E,7/3/2018 00:39,
2,Activity F,7/3/2018 00:40,
2,Activity E,7/3/2018 00:41,
2,Activity F,7/3/2018 00:42,
2,Activity E,7/3/2018 00:43,
2,Activity D,7/3/2018 00:44,
2,Activity G,7/3/2018 00:45,
2,Activity B,7/3/2018 00:47,
3,Activity A,7/3/2018 01:43,
3,Activity C,7/3/2018 01:45,
3,Activity E,7/3/2018 01:46,
3,Activity F,7/3/2018 01:47,
3,Activity E,7/3/2018 01:48,
3,Activity F,7/3/2018 01:49,
3,Activity E,7/3/2018 01:50,
3,Activity D,7/3/2018 01:51,
3,Activity H,7/3/2018 01:52,
3,Activity G,7/3/2018 01:53,
3,Activity B,7/3/2018 01:55,
4,Activity A,7/3/2018 02:37,
4,Activity H,7/3/2018 02:39,
4,Activity C,7/3/2018 02:40,
4,Activity E,7/3/2018 02:41,
4,Activity D,7/3/2018 02:42,
4,Activity G,7/3/2018 02:43,
4,Activity B,7/3/2018 02:45,
5,Activity A,7/3/2018 04:05,
5,Activity H,7/3/2018 04:07,
5,Activity C,7/3/2018 04:08,
5,Activity E,7/3/2018 04:09,
5,Activity F,7/3/2018 04:10,
5,Activity E,7/3/2018 04:11,
5,Activity D,7/3/2018 04:12,
5,Activity G,7/3/2018 04:13,
5,Activity B,7/3/2018 04:15,
6,Activity A,7/3/2018 04:29,
6,Activity C,7/3/2018 04:31,
6,Activity E,7/3/2018 04:32,
6,Activity D,7/3/2018 04:33,
6,Activity G,7/3/2018 04:34,
6,Activity H,7/3/2018 04:35,
6,Activity B,7/3/2018 04:37,
7,Activity A,7/3/2018 06:25,
7,Activity C,7/3/2018 06:27,
7,Activity E,7/3/2018 06:28,
7,Activity H,7/3/2018 06:29,
7,Activity F,7/3/2018 06:30,
7,Activity E,7/3/2018 06:31,
7,Activity F,7/3/2018 06:32,
