event,startTime
A,07/03/2019 05:59
A,07/03/2019 05:59
B,07/03/2019 06:00
A,07/03/2019 06:00
B,07/03/2019 06:00
E,07/03/2019 06:01
B,07/03/2019 06:01
E,07/03/2019 06:01
C,07/03/2019 06:02
E,07/03/2019 06:02
C,07/03/2019 06:02
F,07/03/2019 06:03
C,07/03/2019 06:03
A,07/03/2019 06:03
F,07/03/2019 06:03
F,07/03/2019 06:04
B,07/03/2019 06:04
A,07/03/2019 06:04
A,07/03/2019 06:04
A,07/03/2019 06:05
D,07/03/2019 06:05
A,07/03/2019 06:05
B,07/03/2019 06:05
A,07/03/2019 06:05
B,07/03/2019 06:05
B,07/03/2019 06:06
C,07/03/2019 06:06
B,07/03/2019 06:06
E,07/03/2019 06:06
B,07/03/2019 06:06
C,07/03/2019 06:06
A,07/03/2019 06:06
A,07/03/2019 06:07
D,07/03/2019 06:07
F,07/03/2019 06:07
D,07/03/2019 06:07
C,07/03/2019 06:07
E,07/03/2019 06:07
D,07/03/2019 06:07
B,07/03/2019 06:07
B,07/03/2019 06:08
C,07/03/2019 06:08
A,07/03/2019 06:08
C,07/03/2019 06:08
F,07/03/2019 06:08
C,07/03/2019 06:08
F,07/03/2019 06:08
D,07/03/2019 06:08
C,07/03/2019 06:09
F,07/03/2019 06:09
B,07/03/2019 06:09
F,07/03/2019 06:09
F,07/03/2019 06:09
C,07/03/2019 06:09
A,07/03/2019 06:09
D,07/03/2019 06:10
E,07/03/2019 06:10
F,07/03/2019 06:10
A,07/03/2019 06:10
B,07/03/2019 06:10
F,07/03/2019 06:11
A,07/03/2019 06:11
C,07/03/2019 06:11
B,07/03/2019 06:11
E,07/03/2019 06:11
B,07/03/2019 06:12
F,07/03/2019 06:12
E,07/03/2019 06:12
C,07/03/2019 06:12
E,07/03/2019 06:13
A,07/03/2019 06:13
C,07/03/2019 06:13
F,07/03/2019 06:13
C,07/03/2019 06:14
A,07/03/2019 06:14
B,07/03/2019 06:14
F,07/03/2019 06:14
F,07/03/2019 06:15
A,07/03/2019 06:15
A,07/03/2019 06:15
B,07/03/2019 06:15
E,07/03/2019 06:15
B,07/03/2019 06:16
B,07/03/2019 06:16
C,07/03/2019 06:16
C,07/03/2019 06:16
A,07/03/2019 06:16
C,07/03/2019 06:17
C,07/03/2019 06:17
E,07/03/2019 06:17
F,07/03/2019 06:17
B,07/03/2019 06:17
E,07/03/2019 06:18
E,07/03/2019 06:18
F,07/03/2019 06:18
A,07/03/2019 06:18
E,07/03/2019 06:18
F,07/03/2019 06:19
F,07/03/2019 06:19
A,07/03/2019 06:19
B,07/03/2019 06:19
C,07/03/2019 06:19
B,07/03/2019 06:20
D,07/03/2019 06:20
F,07/03/2019 06:20
D,07/03/2019 06:21
A,07/03/2019 06:21
C,07/03/2019 06:21
A,07/03/2019 06:22
C,07/03/2019 06:22
B,07/03/2019 06:22
F,07/03/2019 06:22
B,07/03/2019 06:23
F,07/03/2019 06:23
C,07/03/2019 06:23
A,07/03/2019 06:24
C,07/03/2019 06:24
D,07/03/2019 06:24
A,07/03/2019 06:24
A,07/03/2019 06:24
B,07/03/2019 06:25
D,07/03/2019 06:25
A,07/03/2019 06:25
A,07/03/2019 06:25
F,07/03/2019 06:25
B,07/03/2019 06:25
A,07/03/2019 06:25
B,07/03/2019 06:25
C,07/03/2019 06:26
F,07/03/2019 06:26
B,07/03/2019 06:26
A,07/03/2019 06:26
B,07/03/2019 06:26
E,07/03/2019 06:26
B,07/03/2019 06:26
A,07/03/2019 06:26
C,07/03/2019 06:26
E,07/03/2019 06:27
D,07/03/2019 06:27
B,07/03/2019 06:27
D,07/03/2019 06:27
C,07/03/2019 06:27
E,07/03/2019 06:27
B,07/03/2019 06:27
E,07/03/2019 06:27
A,07/03/2019 06:28
F,07/03/2019 06:28
C,07/03/2019 06:28
C,07/03/2019 06:28
C,07/03/2019 06:28
F,07/03/2019 06:28
C,07/03/2019 06:28
C,07/03/2019 06:28
F,07/03/2019 06:28
B,07/03/2019 06:29
F,07/03/2019 06:29
E,07/03/2019 06:29
F,07/03/2019 06:29
A,07/03/2019 06:29
F,07/03/2019 06:29
E,07/03/2019 06:29
A,07/03/2019 06:30
D,07/03/2019 06:30
F,07/03/2019 06:30
B,07/03/2019 06:30
F,07/03/2019 06:30
B,07/03/2019 06:31
A,07/03/2019 06:31
C,07/03/2019 06:31
A,07/03/2019 06:31
D,07/03/2019 06:31
E,07/03/2019 06:32
B,07/03/2019 06:32
F,07/03/2019 06:32
B,07/03/2019 06:32
C,07/03/2019 06:32
C,07/03/2019 06:33
D,07/03/2019 06:33
A,07/03/2019 06:33
C,07/03/2019 06:33
F,07/03/2019 06:33
F,07/03/2019 06:34
C,07/03/2019 06:34
B,07/03/2019 06:34
E,07/03/2019 06:34
A,07/03/2019 06:35
F,07/03/2019 06:35
D,07/03/2019 06:35
A,07/03/2019 06:35
F,07/03/2019 06:35
B,07/03/2019 06:36
C,07/03/2019 06:36
B,07/03/2019 06:36
A,07/03/2019 06:36
D,07/03/2019 06:37
F,07/03/2019 06:37
C,07/03/2019 06:37
B,07/03/2019 06:37
A,07/03/2019 06:37
C,07/03/2019 06:38
D,07/03/2019 06:38
A,07/03/2019 06:38
A,07/03/2019 06:38
D,07/03/2019 06:38
B,07/03/2019 06:38
F,07/03/2019 06:39
F,07/03/2019 06:39
B,07/03/2019 06:39
B,07/03/2019 06:39
C,07/03/2019 06:39
D,07/03/2019 06:39
D,07/03/2019 06:40
A,07/03/2019 06:40
C,07/03/2019 06:40
F,07/03/2019 06:40
C,07/03/2019 06:40
A,07/03/2019 06:41
C,07/03/2019 06:41
B,07/03/2019 06:41
D,07/03/2019 06:41
F,07/03/2019 06:41
B,07/03/2019 06:42
F,07/03/2019 06:42
A,07/03/2019 06:42
D,07/03/2019 06:42
F,07/03/2019 06:42
E,07/03/2019 06:43
B,07/03/2019 06:43
C,07/03/2019 06:43
A,07/03/2019 06:43
C,07/03/2019 06:44
E,07/03/2019 06:44
F,07/03/2019 06:44
B,07/03/2019 06:44
F,07/03/2019 06:45
A,07/03/2019 06:45
C,07/03/2019 06:45
E,07/03/2019 06:45
A,07/03/2019 06:46
A,07/03/2019 06:46
B,07/03/2019 06:46
F,07/03/2019 06:46
C,07/03/2019 06:46
B,07/03/2019 06:47
B,07/03/2019 06:47
E,07/03/2019 06:47
F,07/03/2019 06:47
C,07/03/2019 06:48
C,07/03/2019 06:48
C,07/03/2019 06:48
E,07/03/2019 06:49
E,07/03/2019 06:49
F,07/03/2019 06:49
F,07/03/2019 06:50
A,07/03/2019 06:50
F,07/03/2019 06:50
B,07/03/2019 06:51
A,07/03/2019 06:51
E,07/03/2019 06:52
A,07/03/2019 06:52
A,07/03/2019 06:52
B,07/03/2019 06:52
C,07/03/2019 06:53
A,07/03/2019 06:53
B,07/03/2019 06:53
B,07/03/2019 06:53
C,07/03/2019 06:53
F,07/03/2019 06:54
B,07/03/2019 06:54
D,07/03/2019 06:54
C,07/03/2019 06:54
D,07/03/2019 06:54
C,07/03/2019 06:55
A,07/03/2019 06:55
A,07/03/2019 06:55
C,07/03/2019 06:55
D,07/03/2019 06:55
A,07/03/2019 06:55
F,07/03/2019 06:55
E,07/03/2019 06:56
B,07/03/2019 06:56
B,07/03/2019 06:56
F,07/03/2019 06:56
A,07/03/2019 06:56
F,07/03/2019 06:56
B,07/03/2019 06:56
F,07/03/2019 06:57
D,07/03/2019 06:57
C,07/03/2019 06:57
B,07/03/2019 06:57
E,07/03/2019 06:57
C,07/03/2019 06:58
D,07/03/2019 06:58
A,07/03/2019 06:58
E,07/03/2019 06:58
C,07/03/2019 06:58
A,07/03/2019 06:58
F,07/03/2019 06:59
F,07/03/2019 06:59
B,07/03/2019 06:59
C,07/03/2019 06:59
F,07/03/2019 06:59
B,07/03/2019 06:59
A,07/03/2019 07:00
C,07/03/2019 07:00
F,07/03/2019 07:00
C,07/03/2019 07:00
A,07/03/2019 07:01
B,07/03/2019 07:01
D,07/03/2019 07:01
D,07/03/2019 07:01
B,07/03/2019 07:02
E,07/03/2019 07:02
F,07/03/2019 07:02
F,07/03/2019 07:02
D,07/03/2019 07:03
C,07/03/2019 07:03
A,07/03/2019 07:03
A,07/03/2019 07:03
C,07/03/2019 07:04
F,07/03/2019 07:04
B,07/03/2019 07:04
B,07/03/2019 07:04
F,07/03/2019 07:05
A,07/03/2019 07:05
A,07/03/2019 07:05
E,07/03/2019 07:05
C,07/03/2019 07:05
B,07/03/2019 07:06
B,07/03/2019 07:06
A,07/03/2019 07:06
C,07/03/2019 07:06
E,07/03/2019 07:06
E,07/03/2019 07:07
E,07/03/2019 07:07
B,07/03/2019 07:07
F,07/03/2019 07:07
F,07/03/2019 07:07
C,07/03/2019 07:08
C,07/03/2019 07:08
C,07/03/2019 07:08
F,07/03/2019 07:09
A,07/03/2019 07:09
A,07/03/2019 07:09
F,07/03/2019 07:09
D,07/03/2019 07:09
B,07/03/2019 07:10
B,07/03/2019 07:10
F,07/03/2019 07:10
A,07/03/2019 07:10
C,07/03/2019 07:11
